iter;num_air;num_per;cost_e;cost_h;cost_prop;time_e;time_h;time_prop;status_e;status_h
26;5;15;10180.33363;10180.33363;1;0.59348011;0.204768896;2.898292277;OPTIMAL;OPTIMAL
27;5;15;9433.221264;9433.221264;1;0.677400827;0.16111517;4.204450949;OPTIMAL;OPTIMAL
28;5;15;30588.24255;40574.17675;1.326463156;1.133892059;0.199650049;5.679397845;OPTIMAL;OPTIMAL
29;5;15;8246.092774;8246.092774;1;0.709553003;0.256382942;2.767551528;OPTIMAL;OPTIMAL
30;5;15;6079.844952;6079.844952;1;0.568338871;0.318109035;1.786616561;OPTIMAL;OPTIMAL
31;5;15;14735.91572;14735.91572;1;0.512109995;0.200171947;2.558350465;OPTIMAL;OPTIMAL
32;5;15;6899.124769;6899.124769;1;0.65736413;0.175328016;3.749338776;OPTIMAL;OPTIMAL
33;5;15;26169.95735;26319.95735;1.005731763;0.758630991;0.199053049;3.811200052;OPTIMAL;OPTIMAL
34;5;15;8426.34224;8516.34224;1.010680791;1.159013033;0.286201954;4.049633544;OPTIMAL;OPTIMAL
35;5;15;46629.3844;NA;NA;1.129820108;0.16662097;6.780779814;OPTIMAL;INFEASIBLE
36;5;15;12757.44384;12967.44384;1.016460978;0.954185009;0.851644039;1.120403555;OPTIMAL;OPTIMAL
37;5;15;17705.08786;17705.08786;1;1.466545105;0.452321053;3.242265857;OPTIMAL;OPTIMAL
38;5;15;23040.8734;23070.8734;1.001302034;0.70306015;0.306252003;2.2956916;OPTIMAL;OPTIMAL
39;5;15;10805.39608;10925.39608;1.011105562;0.946197033;0.373768091;2.531508321;OPTIMAL;OPTIMAL
40;5;15;9543.977301;9543.977301;1;0.739558935;0.157120943;4.706940531;OPTIMAL;OPTIMAL
41;5;15;10856.20721;10856.20721;1;1.424169064;0.284166098;5.011748676;OPTIMAL;OPTIMAL
42;5;15;18089.95445;18089.95445;1;0.698585033;0.297212124;2.35045941;OPTIMAL;OPTIMAL
43;5;15;14364.7622;21046.76542;1.465166296;0.7545681;0.969753027;0.778103372;OPTIMAL;OPTIMAL
