"num_air";"num_per";"cost_prop";"time_e";"time_h";"time_prop";"status_e";"status_h"
5;5;1.00556144889723;0.146939117908478;0.184195010662079;2.9343530732873;100;87
10;5;1.03500515844767;0.28819473028183;0.170878739356995;2.86275965758092;100;95
15;5;1.14502424305142;0.397213003635406;0.192666575908661;2.35970069590739;100;99
20;5;1.32489460777667;0.603115787506104;0.354906976222992;2.31181271496232;100;97
25;5;1.56547415351098;0.78346360206604;0.386387145519257;2.26680275283102;100;99
30;5;1.57987962656547;0.993225085735321;0.612365663051605;2.19486907389397;100;97
5;10;1.01336236371196;0.389278521537781;0.286606650352478;3.27098250100385;100;90
10;10;1.00792091806534;0.707310810089111;0.376629583835602;2.77840422516854;100;97
15;10;1.01385189031559;1.02027831315994;0.482053878307342;2.56282623265378;100;98
20;10;1.0267901103696;1.59965737581253;0.637885513305664;2.79016567274866;100;99
25;10;1.1225130300315;2.07898448467255;0.972683339118958;2.34678814867888;100;99
30;10;1.26549899475793;2.59798131942749;1.37707166194916;2.24805807314122;100;98
5;15;1.02666312894316;0.862692012786865;0.415721564292908;4.2038744964367;100;88
10;15;1.00842455550194;1.51375216960907;0.703666915893555;3.24259291252098;100;95
15;15;1.0086776057723;2.19676558494568;1.02538081407547;3.0254205438051;100;96
20;15;1.02842245511993;3.08105647087097;1.43983593225479;2.50207129857305;100;98
25;15;1.08028776635987;3.96951864242554;2.18538945436478;2.30720994052543;100;97
30;15;1.10212804987558;5.24020443916321;2.2480633187294;2.33222027026207;100;100
5;20;1.02610032060202;1.40352201461792;0.547563383579254;3.50761888512742;100;92
10;20;1.0060260924551;3.08472356557846;0.988519158363343;3.92363950007946;100;95
15;20;1.00739107517748;4.23445949792862;2.18779918909073;2.80931019355184;100;93
20;20;1.00767375208636;5.40240092277527;2.46843959093094;2.72107592320955;100;97
25;20;1.02237918202072;7.07194202661514;3.27880831480026;2.53783243162814;100;98
30;20;1.02942727104869;9.04428360462189;3.9919148850441;2.47531285060692;100;99
5;25;1.01240683524557;1.93720879554749;0.731356301307678;4.00569327254007;100;92
10;25;1.02442442134013;4.1407549571991;1.203279337883;4.10321940289812;100;96
15;25;1.00676867130796;7.43716517925262;2.79297654151916;3.92225234226444;100;93
20;25;1.00598669467896;7.90580087184906;3.52139282464981;2.84043230665376;100;97
25;25;1.02133154891997;10.8227704000473;4.71151872396469;2.70114706932713;100;98
30;25;1.02510921680938;13.5676057720184;5.85664311885834;2.52889780806384;100;99
5;30;1.00668018572685;2.34171705961227;0.648301887512207;4.23583290988027;100;91
10;30;1.01166549652617;10.1967199349403;1.64907825946808;7.54887464258698;100;90
15;30;1.00552020286812;7.67258341312408;2.43154239177704;3.16787188735382;100;97
20;30;1.00742680860484;11.3722432041168;4.04624543428421;2.99192444948647;100;98
25;30;1.00178690045303;15.5550233101845;8.2476386141777;2.65010197165051;100;95
30;30;1.02513630776076;19.8246203351021;8.87963761091232;2.6244932034275;100;98
5;40;1.01149391812602;2.92673546791077;1.03352295398712;3.3017991551914;100;93
10;40;1.01263534410424;10.3712817382813;3.10561274528503;4.28165097035346;100;87
15;40;1.01336964345668;18.2981752133369;4.74995267152786;4.59716471077708;100;91
20;40;1.0076554896422;23.9085252857208;10.082416176796;3.36415151972916;100;90
25;40;1.00828657999581;30.8159756731987;11.2846333789825;3.23767980037248;100;97
30;40;1.01072664478323;41.2696429085731;19.9417392587662;2.9433269573623;100;94
5;50;1.00935684962815;6.02789160490036;1.98434879779816;4.75264064522092;100;90
10;50;1.01838870708846;17.8101083183289;4.19789967298508;5.0174635300254;100;91
15;50;1.00165509270466;28.3284577536583;7.84332589387894;4.50995949973755;100;92
20;50;1.0088217379517;44.1854505634308;15.4902305102348;4.38351802492192;100;88
25;50;1.00601811637009;46.6052772402763;19.058916425705;3.09357782844177;100;97
30;50;1.00625475568222;66.6315626811981;33.1563663578033;2.98649888401586;100;92
