iter;num_air;num_per;cost;time;status;method
7;5;10;17783.22451;0.293377161;OPTIMAL;Exact
8;5;10;14335.57625;0.505393982;OPTIMAL;Exact
9;5;10;12571.00192;0.47595787;OPTIMAL;Exact
10;5;10;12122.92469;0.3524189;OPTIMAL;Exact
11;5;10;8105.32881;0.491224051;OPTIMAL;Exact
12;5;10;9157.254085;0.401410103;OPTIMAL;Exact
13;5;10;5829.612448;0.469105959;OPTIMAL;Exact
14;5;10;16579.72281;0.493848085;OPTIMAL;Exact
15;5;10;13157.20458;0.268182993;OPTIMAL;Exact
16;5;10;8107.220427;0.291226149;OPTIMAL;Exact
17;5;10;12535.27399;0.297142982;OPTIMAL;Exact
18;5;10;13965.593;0.304770947;OPTIMAL;Exact
19;5;10;9012.408282;0.380162001;OPTIMAL;Exact
20;5;10;14320.80046;0.36493206;OPTIMAL;Exact
21;5;10;9525.392333;0.403416157;OPTIMAL;Exact
22;5;10;7501.384246;0.384515047;OPTIMAL;Exact
23;5;10;5570.750965;0.582063913;OPTIMAL;Exact
24;5;10;19556.08603;0.340918064;OPTIMAL;Exact
25;5;10;8686.954622;0.287402868;OPTIMAL;Exact
26;5;10;18889.14409;0.290508032;OPTIMAL;Exact
27;5;10;25278.44267;0.595495939;OPTIMAL;Exact
28;5;10;10505.07821;0.365092993;OPTIMAL;Exact
29;5;10;11969.13721;0.367800951;OPTIMAL;Exact
30;5;10;16025.19852;0.398669004;OPTIMAL;Exact
31;5;10;8216.476837;0.283233881;OPTIMAL;Exact
32;5;10;22932.52059;0.525057793;OPTIMAL;Exact
33;5;10;13444.74225;0.32355094;OPTIMAL;Exact
34;5;10;8246.499007;0.398369789;OPTIMAL;Exact
35;5;10;5085.175324;0.381314039;OPTIMAL;Exact
36;5;10;9211.994487;0.389948845;OPTIMAL;Exact
37;5;10;9719.299317;0.43231082;OPTIMAL;Exact
38;5;10;19015.99983;0.38737607;OPTIMAL;Exact
39;5;10;18028.60439;0.278182983;OPTIMAL;Exact
40;5;10;11989.33622;0.432350874;OPTIMAL;Exact
41;5;10;20140.51456;0.297262907;OPTIMAL;Exact
42;5;10;20813.14905;0.360405922;OPTIMAL;Exact
43;5;10;10135.80964;0.43584609;OPTIMAL;Exact
44;5;10;7408.828924;0.341850996;OPTIMAL;Exact
45;5;10;12778.13517;0.346276045;OPTIMAL;Exact
46;5;10;14483.37083;0.542475939;OPTIMAL;Exact
47;5;10;6739.793278;0.346807957;OPTIMAL;Exact
48;5;10;15253.69935;0.378284931;OPTIMAL;Exact
49;5;10;14304.01867;0.353420973;OPTIMAL;Exact
50;5;10;9167.880925;0.350993872;OPTIMAL;Exact
51;5;10;6598.500881;0.417135;OPTIMAL;Exact
52;5;10;7754.856968;0.371353149;OPTIMAL;Exact
53;5;10;12647.1637;0.310974121;OPTIMAL;Exact
54;5;10;19284.84303;0.324411869;OPTIMAL;Exact
55;5;10;11810.61182;0.254852057;OPTIMAL;Exact
56;5;10;12300.43643;0.660989046;OPTIMAL;Exact
57;5;10;18640.19624;0.371809959;OPTIMAL;Exact
58;5;10;19082.66505;0.362138987;OPTIMAL;Exact
59;5;10;9892.661582;0.42590189;OPTIMAL;Exact
60;5;10;9660.30397;0.395519972;OPTIMAL;Exact
61;5;10;8492.789556;0.361291885;OPTIMAL;Exact
62;5;10;11618.16066;0.62387681;OPTIMAL;Exact
63;5;10;22693.96558;0.522567034;OPTIMAL;Exact
64;5;10;7461.523316;0.406996965;OPTIMAL;Exact
65;5;10;6831.409841;0.306190968;OPTIMAL;Exact
66;5;10;16007.11766;0.452386856;OPTIMAL;Exact
67;5;10;9939.117138;0.422309875;OPTIMAL;Exact
68;5;10;18180.21841;0.412435055;OPTIMAL;Exact
69;5;10;15263.19183;0.366420984;OPTIMAL;Exact
70;5;10;10019.08829;0.365912914;OPTIMAL;Exact
71;5;10;13844.0801;0.278325081;OPTIMAL;Exact
72;5;10;26426.37799;0.448651075;OPTIMAL;Exact
73;5;10;18052.3646;0.263292074;OPTIMAL;Exact
74;5;10;9060.253658;0.383354187;OPTIMAL;Exact
75;5;10;7076.232727;0.320109129;OPTIMAL;Exact
76;5;10;11505.64524;0.205151081;OPTIMAL;Exact
77;5;10;10477.26867;0.36788106;OPTIMAL;Exact
78;5;10;16878.67866;0.434888124;OPTIMAL;Exact
79;5;10;10808.6503;0.346414089;OPTIMAL;Exact
80;5;10;16760.84026;0.402426958;OPTIMAL;Exact
81;5;10;20571.68988;0.437472105;OPTIMAL;Exact
82;5;10;13425.36167;0.471394062;OPTIMAL;Exact
83;5;10;20705.39737;0.323259115;OPTIMAL;Exact
84;5;10;7277.271719;0.424354076;OPTIMAL;Exact
85;5;10;11120.94392;0.318217993;OPTIMAL;Exact
86;5;10;16902.69043;0.482696056;OPTIMAL;Exact
